№	Артикул	Тип продукта	Наименование	Кол-во, ед. изм.		Цена с НДС, руб.	Сумма без НДС, руб.	НДС	Сумма НДС, руб.	Сумма с НДС, руб.
1	23	Ингредиент	Фарш говяжий 70/30	6.0	кг	811.26	4425.08	10.0 %	442.51	4867.59
2	38	Ингредиент	Тунец с/с	3.4	кг	761.64	2354.15	10.0 %	235.41	2589.56
3	94	Ингредиент	Мука пшеничная	10.0	кг	39.38	357.95	10.0 %	35.8	393.75
4	90024	Ингредиент	Масло трюфельное	0.5	кг	2177.4	989.73	10.0 %	98.97	1088.7
5	90033	Ингредиент	Горчица дижонская	1.0	кг	477.85	391.68	22.0 %	86.17	477.85
6	31	Ингредиент	Каперсы	0.7	кг	556.43	319.26	22.0 %	70.24	389.5
7	83	Ингредиент	Майонез	9.4	кг	219.87	1694.11	22.0 %	372.71	2066.82
8	21	Ингредиент	Бекон с/к	2.0	кг	768.46	1397.2	10.0 %	139.72	1536.92
9	90022	Ингредиент	Сок лимона	0.545	кг	166.59	74.42	22.0 %	16.37	90.79
10	90237	Ингредиент	Соус Демиглас	1.0	кг	1062.5	870.9	22.0 %	191.6	1062.5
11	90017	Ингредиент	Масло подсолнечное	15.0	кг	139.21	1898.32	10.0 %	189.83	2088.15
