Приходные накладные - ПН135 - Элементы документа (05.06.2026 15:00)														
														
	№	Артикул	Тип продукта	Наименование	Кол-во, ед. изм.		Цена с НДС, руб.	Сумма без НДС, руб.	НДС	Сумма НДС, руб.	Сумма с НДС, руб.	Стоимость доставки, руб.	Остаток, ед. изм.	
	1	6	Ингредиент	Томаты розовые	2.46	кг	345.00	808.29	5.0 %	40.41	848.70	0.00	9.928	кг
	2	7	Ингредиент	Огурец гладкий	2.08	кг	280.00	554.67	5.0 %	27.73	582.40	0.00	9.37	кг
	3	90241	Ингредиент	Редис	0.41	кг	360.00	140.57	5.0 %	7.03	147.60	0.00	1.96	кг
	4	54	Ингредиент	Капуста белокачанная	1.8	кг	65.00	111.43	5.0 %	5.57	117.00	0.00	6.273	кг
	5	5	Ингредиент	Романо	2.11	кг	390.00	783.71	5.0 %	39.19	822.90	0.00	12.79	кг
	6	90100	Ингредиент	Шпинат	0.45	кг	860.00	368.57	5.0 %	18.43	387.00	0.00	0.39	кг
	7	17	Ингредиент	Петрушка	0.68	кг	505.00	327.05	5.0 %	16.35	343.40	0.00	4.13426	кг
	8	16	Ингредиент	Базилик зелёный	0.5	кг	2,050.00	976.19	5.0 %	48.81	1,025.00	0.00	3.74784	кг
	9	19	Ингредиент	Лук зелёный	0.17	кг	405.00	65.57	5.0 %	3.28	68.85	0.00	0.8232	кг
	10	18	Ингредиент	Укроп	0.07	кг	505.00	33.67	5.0 %	1.68	35.35	0.00	1.25821	кг
	11	30	Ингредиент	Киви	0.21	кг	286.00	57.20	5.0 %	2.86	60.06	0.00	4.4	кг
	12	37	Ингредиент	Лайм	1.08	кг	505.00	519.43	5.0 %	25.97	545.40	0.00	5.03	кг
	13	84	Ингредиент	Лук красный	3.1	кг	145.00	428.10	5.0 %	21.40	449.50	0.00	6.54046	кг
								5,174.44		258.72	5,433.16			
